,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
91,Detroit LionsDET,22,Green Bay PackersGB,23,2019,6,2,4,Green Bay PackersGB,Green Bay PackersGB,No,NFC South,NFC North,No
92,Kansas City ChiefsKC,30,Denver BroncosDEN,6,2019,7,4,2,Kansas City ChiefsKC,Kansas City ChiefsKC,No,AFC West,AFC West,Yes
93,Los Angeles RamsLA,37,Atlanta FalconsATL,10,2019,7,3,1,Los Angeles RamsLA,Los Angeles RamsLA,No,NFC West,NFC South,No
94,Miami DolphinsMIA,21,Buffalo BillsBUF,31,2019,7,0,4,Buffalo BillsBUF,Buffalo BillsBUF,No,AFC East,AFC East,Yes
95,Jacksonville JaguarsJAX,27,Cincinnati BengalsCIN,17,2019,7,2,0,Jacksonville JaguarsJAX,Jacksonville JaguarsJAX,No,AFC South,AFC North,No
96,Minnesota VikingsMIN,42,Detroit LionsDET,30,2019,7,4,2,Minnesota VikingsMIN,Minnesota VikingsMIN,No,NFC North,NFC South,No
97,Oakland RaidersOAK,24,Green Bay PackersGB,42,2019,7,3,5,Green Bay PackersGB,Green Bay PackersGB,No,AFC West,NFC North,No
98,Houston TexansHOU,23,Indianapolis ColtsIND,30,2019,7,4,3,Indianapolis ColtsIND,Houston TexansHOU,Yes,AFC South,AFC South,Yes
99,Arizona CardinalsARI,27,New York GiantsNYG,21,2019,7,2,2,Arizona CardinalsARI,No Favorite,No Favorite,NFC West,NFC East,No
100,San Francisco 49ersSF,9,Washington RedskinsWAS,0,2019,7,5,1,San Francisco 49ersSF,San Francisco 49ersSF,No,NFC West,NFC East,No
101,Los Angeles ChargersLAC,20,Tennessee TitansTEN,23,2019,7,2,2,Tennessee TitansTEN,No Favorite,No Favorite,AFC West,AFC South,No
102,New Orleans SaintsNO,36,Chicago BearsCHI,25,2019,7,5,3,New Orleans SaintsNO,New Orleans SaintsNO,No,NFC South,NFC North,No
